season,year,month,day,city,sport,event,url,medal,winner,country
Summer,1896,4,6,Athina,Athletics,"Discus Throw, Men",/results/56028,Gold,Bob Garrett,United States
Summer,1896,4,6,Athina,Athletics,"Discus Throw, Men",/results/56028,Silver,Panagiotis Paraskevopoulos,Greece
Summer,1896,4,6,Athina,Athletics,"Discus Throw, Men",/results/56028,Bronze,Sotirios Versis,Greece
Summer,1896,4,6,Athina,Athletics,"Triple Jump, Men",/results/56026,Gold,James B. Connolly,United States
Summer,1896,4,6,Athina,Athletics,"Triple Jump, Men",/results/56026,Silver,Alexandre Tuffèri,France
Summer,1896,4,6,Athina,Athletics,"Triple Jump, Men",/results/56026,Bronze,Ioannis Persakis,Greece
Summer,1896,4,7,Athina,Athletics,"1,500 metres, Men",/results/56016,Gold,Teddy Flack,Australia
Summer,1896,4,7,Athina,Athletics,"1,500 metres, Men",/results/56016,Silver,Arthur C. Blake,United States
Summer,1896,4,7,Athina,Athletics,"1,500 metres, Men",/results/56016,Bronze,Albin Lermusiaux,France
Summer,1896,4,7,Athina,Athletics,"400 metres, Men",/results/56006,Gold,Tom Burke,United States
Summer,1896,4,7,Athina,Athletics,"400 metres, Men",/results/56006,Silver,Herbert Jamison,United States
Summer,1896,4,7,Athina,Athletics,"400 metres, Men",/results/56006,Bronze,Charles Gmelin,Great Britain
Summer,1896,4,7,Athina,Athletics,"Long Jump, Men",/results/56025,Gold,Ellery Clark,United States
Summer,1896,4,7,Athina,Athletics,"Long Jump, Men",/results/56025,Silver,Bob Garrett,United States
Summer,1896,4,7,Athina,Athletics,"Long Jump, Men",/results/56025,Bronze,James B. Connolly,United States
Summer,1896,4,7,Athina,Athletics,"Shot Put, Men",/results/56027,Gold,Bob Garrett,United States
Summer,1896,4,7,Athina,Athletics,"Shot Put, Men",/results/56027,Silver,Miltiadis Gouskos,Greece
Summer,1896,4,7,Athina,Athletics,"Shot Put, Men",/results/56027,Bronze,Georgios Papasideris,Greece
Summer,1896,4,7,Athina,Fencing,"Foil, Individual, Men",/results/72000,Gold,Eugène Henry Gravelotte,France
Summer,1896,4,7,Athina,Fencing,"Foil, Individual, Men",/results/72000,Silver,Henri Callot,France
Summer,1896,4,7,Athina,Fencing,"Foil, Individual, Men",/results/72000,Bronze,Alexandros Vouros,Greece
Summer,1896,4,7,Athina,Fencing,"Foil, Individual, Men",/results/72000,Bronze,Periklis Pierrakos-Mavromichalis,Greece
Summer,1896,4,7,Athina,Fencing,"Foil, Masters, Individual, Men",/results/72029,Gold,Leon Pyrgos,Greece
Summer,1896,4,7,Athina,Fencing,"Foil, Masters, Individual, Men",/results/72029,Silver,Joanni Perronet,France
Summer,1896,4,7,Athina,Weightlifting,"Unlimited, One Hand, Men",/results/28510,Gold,Launceston Elliot,Great Britain
Summer,1896,4,7,Athina,Weightlifting,"Unlimited, One Hand, Men",/results/28510,Silver,Viggo Jensen,Denmark
Summer,1896,4,7,Athina,Weightlifting,"Unlimited, One Hand, Men",/results/28510,Bronze,Alexandros Nikolopoulos,Greece
Summer,1896,4,7,Athina,Weightlifting,"Unlimited, Two Hands, Men",/results/28511,Gold,Viggo Jensen,Denmark
Summer,1896,4,7,Athina,Weightlifting,"Unlimited, Two Hands, Men",/results/28511,Silver,Launceston Elliot,Great Britain
Summer,1896,4,7,Athina,Weightlifting,"Unlimited, Two Hands, Men",/results/28511,Bronze,Sotirios Versis,Greece
Summer,1896,4,8,Athina,Cycling Track,"100 kilometres, Men",/results/153003,Gold,Léon Flameng,France
Summer,1896,4,8,Athina,Cycling Track,"100 kilometres, Men",/results/153003,Silver,Georgios Koletis,Greece
Summer,1896,4,9,Athina,Artistic Gymnastics,"Horizontal Bar, Men",/results/70005,Gold,Hermann Weingärtner,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Horizontal Bar, Men",/results/70005,Silver,Alfred Flatow,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Horizontal Bar, Teams, Men",/results/70001,Gold,Germany,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Parallel Bars, Teams, Men",/results/70000,Gold,Germany,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Parallel Bars, Teams, Men",/results/70000,Silver,Greece,Greece
Summer,1896,4,9,Athina,Artistic Gymnastics,"Parallel Bars, Teams, Men",/results/70000,Bronze,Greece,Greece
Summer,1896,4,9,Athina,Artistic Gymnastics,"Pommelled Horse, Men",/results/70003,Gold,Louis Zutter,Switzerland
Summer,1896,4,9,Athina,Artistic Gymnastics,"Pommelled Horse, Men",/results/70003,Silver,Hermann Weingärtner,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Rings, Men",/results/70004,Gold,Ioannis Mitropoulos,Greece
Summer,1896,4,9,Athina,Artistic Gymnastics,"Rings, Men",/results/70004,Silver,Hermann Weingärtner,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Rings, Men",/results/70004,Bronze,Petros Persakis,Greece
Summer,1896,4,9,Athina,Artistic Gymnastics,"Vault, Men",/results/70002,Gold,Carl Schuhmann,Germany
Summer,1896,4,9,Athina,Artistic Gymnastics,"Vault, Men",/results/70002,Silver,Louis Zutter,Switzerland
Summer,1896,4,9,Athina,Artistic Gymnastics,"Vault, Men",/results/70002,Bronze,Hermann Weingärtner,Germany
Summer,1896,4,9,Athina,Athletics,"800 metres, Men",/results/56011,Gold,Teddy Flack,Australia
